id,name,set_number,card_number,ink_color,rarity
488,Mama Odie - Voice of Wisdom,3,52,Amethyst,Uncommon
489,Pua - Potbellied Buddy,3,53,Amethyst,Common
490,Rafiki - Mystical Fighter,3,54,Amethyst,Rare
491,Stratos - Tornado Titan,3,55,Amethyst,Rare
492,The Firebird - Force of Destruction,3,56,Amethyst,Common
493,The Queen - Hateful Rival,3,57,Amethyst,Common
494,Treasure Guardian - Protector of the Cave,3,58,Amethyst,Rare
495,Ursula - Sea Witch,3,59,Amethyst,Rare
496,Bestow a Gift,3,60,Amethyst,Common
497,It Calls Me,3,61,Amethyst,Uncommon
498,Last-Ditch Effort,3,62,Amethyst,Uncommon
499,The Boss Is On A Roll,3,63,Amethyst,Rare
500,The Lamp,3,64,Amethyst,Rare
501,The Sorcerer's Hat,3,65,Amethyst,Rare
502,Forbidden Mountain - Maleficent's Castle,3,66,Amethyst,Common
503,The Queen's Castle - Mirror Chamber,3,67,Amethyst,Rare
504,The Sorcerer's Tower - Wondrous Workspace,3,68,Amethyst,Uncommon
505,Cubby - Mighty Lost Boy,3,69,Emerald,Common
506,Cursed Merfolk - Ursula's Handiwork,3,70,Emerald,Rare
507,Don Karnage - Prince of Pirates,3,71,Emerald,Common
508,Flotsam - Riffraff,3,72,Emerald,Common
509,Friar Tuck - Priest Of Nottingham,3,73,Emerald,Uncommon
510,Helga Sinclair - Femme Fatale,3,74,Emerald,Super Rare
511,Helga Sinclair - Vengeful Partner,3,75,Emerald,Rare
512,Jetsam - Riffraff,3,76,Emerald,Common
513,Kit Cloudkicker - Tough Guy,3,77,Emerald,Uncommon
514,Lyle Tiberius Rourke - Cunning Mercenary,3,78,Emerald,Super Rare
515,Milo Thatch - Clever Cartographer,3,79,Emerald,Common
516,Milo Thatch - King of Atlantis,3,80,Emerald,Legendary
517,Morph - Space Goo,3,81,Emerald,Rare
518,Peter Pan - Lost Boy Leader,3,82,Emerald,Rare
519,Prince John - Phony King,3,83,Emerald,Uncommon
520,Robin Hood - Daydreamer,3,84,Emerald,Rare
521,Shenzi - Hyena Pack Leader,3,85,Emerald,Super Rare
522,Sir Hiss - Aggravating Asp,3,86,Emerald,Common
523,Skippy - Energetic Rabbit,3,87,Emerald,Common
524,Starkey - Devious Pirate,3,88,Emerald,Uncommon
525,Stitch - Covert Agent,3,89,Emerald,Rare
526,Ursula - Deceiver,3,90,Emerald,Uncommon
527,Ursula - Deceiver of All,3,91,Emerald,Legendary
528,Wildcat - Mechanic,3,92,Emerald,Uncommon
529,Zazu - Steward of the Pride Lands,3,93,Emerald,Common
530,Has Set My Heaaaaaaart . . .,3,94,Emerald,Uncommon
531,I Will Find My Way,3,95,Emerald,Common
532,Strike A Good Match,3,96,Emerald,Common
533,Airfoil,3,97,Emerald,Common
534,Robin's Bow,3,98,Emerald,Uncommon
535,Starlight Vial,3,99,Emerald,Rare
536,De Vil Manor - Cruella's Estate,3,100,Emerald,Common
537,Fang - River City,3,101,Emerald,Rare
538,Kuzco's Palace - Home of the Emperor,3,102,Emerald,Uncommon
539,Ariel - Adventurous Collector,3,103,Ruby,Super Rare
540,Billy Bones - Keeper of the Map,3,104,Ruby,Common
541,Captain Hook - Master Swordsman,3,105,Ruby,Rare
542,Della Duck - Unstoppable Mom,3,106,Ruby,Common
543,HeiHei - Accidental Explorer,3,107,Ruby,Uncommon
544,Hydra - Deadly Serpent,3,108,Ruby,Legendary
545,Jim Hawkins - Space Traveler,3,109,Ruby,Legendary
546,Jim Hawkins - Thrill Seeker,3,110,Ruby,Common
547,Kakamora - Menacing Sailor,3,111,Ruby,Common
548,Madame Medusa - The Boss,3,112,Ruby,Super Rare
549,Maui - Soaring Demigod,3,113,Ruby,Uncommon
550,Maui - Whale,3,114,Ruby,Rare
551,Milo Thatch - Spirited Scholar,3,115,Ruby,Common
552,Moana - Born Leader,3,116,Ruby,Rare
553,Moana - Undeterred Voyager,3,117,Ruby,Common
554,Nutsy - Vulture Henchman,3,118,Ruby,Common
555,Peter Pan - Never Land Hero,3,119,Ruby,Common
556,Peter Pan - Pirate's Bane,3,120,Ruby,Rare
557,Prince Eric - Expert Helmsman,3,121,Ruby,Super Rare
558,Scroop - Backstabber,3,122,Ruby,Uncommon
559,Simba - Scrappy Cub,3,123,Ruby,Rare
560,Slightly - Lost Boy,3,124,Ruby,Uncommon
561,Stitch - Little Rocket,3,125,Ruby,Common
562,Trigger - Not-So-Sharp Shooter,3,126,Ruby,Uncommon
563,Webby Vanderquack - Enthusiastic Duck,3,127,Ruby,Common
564,Divebomb,3,128,Ruby,Uncommon
565,I've Got a Dream,3,129,Ruby,Uncommon
566,On Your Feet! Now!,3,130,Ruby,Rare
567,Voyage,3,131,Ruby,Common
568,Maui's Fish Hook,3,132,Ruby,Rare
569,Sumerian Talisman,3,133,Ruby,Uncommon
570,Agrabah - Marketplace,3,134,Ruby,Common
571,Jolly Roger - Hook's Ship,3,135,Ruby,Uncommon
572,RLS Legacy - Solar Galleon,3,136,Ruby,Rare
573,Audrey Ramirez - The Engineer,3,137,Sapphire,Rare
574,Captain Amelia - First In Command,3,138,Sapphire,Common
575,Dewey - Showy Nephew,3,139,Sapphire,Uncommon
576,Flintheart Glomgold - Lone Cheater,3,140,Sapphire,Uncommon
577,Genie - Cramped in the Lamp,3,141,Sapphire,Uncommon
578,Gramma Tala - Keeper of Ancient Stories,3,142,Sapphire,Common
579,Gramma Tala - Spirit of the Ocean,3,143,Sapphire,Legendary
580,Gyro Gearloose - Gadget Whiz,3,144,Sapphire,Rare
581,Huey - Savvy Nephew,3,145,Sapphire,Rare
582,King Louie - Bandleader,3,146,Sapphire,Common
583,Kit Cloudkicker - Navigator,3,147,Sapphire,Uncommon
584,Kit Cloudkicker - Spunky Bear Cub,3,148,Sapphire,Common
585,Louie - Chill Nephew,3,149,Sapphire,Common
586,Maid Marian - Delightful Dreamer,3,150,Sapphire,Common
587,Mama Odie - Mystical Maven,3,151,Sapphire,Rare
588,Pluto - Mickey's Clever Friend,3,152,Sapphire,Common
589,Rufus - Orphanage Cat,3,153,Sapphire,Common
590,Scrooge McDuck - Richest Duck in the World,3,154,Sapphire,Super Rare
591,Scrooge Mcduck - Uncle Moneybags,3,155,Sapphire,Uncommon
592,The Queen - Mirror Seeker,3,156,Sapphire,Uncommon
593,Tinker Bell - Very Clever Fairy,3,157,Sapphire,Super Rare
594,Wendy Darling - Authority on Peter Pan,3,158,Sapphire,Super Rare
595,Distract,3,159,Sapphire,Common
596,Friend Like Me,3,160,Sapphire,Rare
597,How Far I'll Go,3,161,Sapphire,Uncommon
598,Repair,3,162,Sapphire,Common
599,Aurelian Gyrosensor,3,163,Sapphire,Rare
600,Heart of Te Fiti,3,164,Sapphire,Rare
601,Lucky Dime,3,165,Sapphire,Legendary
602,Scrooge's Top Hat,3,166,Sapphire,Uncommon
603,Vault Door,3,167,Sapphire,Common
604,Belle's House - Maurice's Workshop,3,168,Sapphire,Rare
605,McDuck Manor - Scrooge's Mansion,3,169,Sapphire,Common
606,Motunui - Island Paradise,3,170,Sapphire,Uncommon
607,Chief Tui - Proud of Motunui,3,171,Steel,Common
608,Eeyore - Overstuffed Donkey,3,172,Steel,Common
609,Gustav The Giant - Terror of the Kingdom,3,173,Steel,Rare
610,Hades - Hotheaded Ruler,3,174,Steel,Rare
611,Helga Sinclair - Right-Hand Woman,3,175,Steel,Common
612,John Silver - Greedy Treasure Seeker,3,176,Steel,Rare
613,Kida - Royal Warrior,3,177,Steel,Common
614,Little John - Resourceful Outlaw,3,178,Steel,Super Rare
615,Little John - Robin's Pal,3,179,Steel,Uncommon
616,Lythos - Rock Titan,3,180,Steel,Uncommon
617,Mickey Mouse - Stalwart Explorer,3,181,Steel,Common
618,Mickey Mouse - Trumpeter,3,182,Steel,Legendary
619,Minnie Mouse - Funky Spelunker,3,183,Steel,Common
620,Mr. Smee - Bumbling Mate,3,184,Steel,Uncommon
621,Mufasa - Champion of the Pride Lands,3,185,Steel,Rare
622,Nala - Fierce Friend,3,186,Steel,Uncommon
623,Pyros - Lava Titan,3,187,Steel,Rare
624,Razoul - Palace Guard,3,188,Steel,Common
625,Robin Hood - Beloved Outlaw,3,189,Steel,Common
626,Robin Hood - Champion of Sherwood,3,190,Steel,Legendary
627,Sheriff of Nottingham - Corrupt Official,3,191,Steel,Super Rare
628,Simba - Fighting Prince,3,192,Steel,Super Rare
629,Simba - Rightful King,3,193,Steel,Uncommon
630,Thaddeus E. Klang - Metallic Leader,3,194,Steel,Uncommon
631,And Then Along Came Zeus,3,195,Steel,Rare
632,Ba-boom!,3,196,Steel,Common
633,Olympus Would Be That Way,3,197,Steel,Common
634,Rise of the Titans,3,198,Steel,Uncommon
635,Captain Hook's Rapier,3,199,Steel,Uncommon
636,Gizmosuit,3,200,Steel,Common
637,Map of Treasure Planet,3,201,Steel,Rare
638,Maui's Place of Exile - Hidden Island,3,202,Steel,Rare
639,Nottingham - Prince John's Castle,3,203,Steel,Common
640,The Bayou - Mysterious Swamp,3,204,Steel,Uncommon
641,Chernabog - Evildoer,3,205,Amber,Enchanted
642,Kida - Protector of Atlantis,3,206,Amber,Enchanted
643,Pride Lands - Pride Rock,3,207,Amber,Enchanted
644,Jafar - Striking Illusionist,3,208,Amethyst,Enchanted
645,Maleficent - Mistress of All Evil,3,209,Amethyst,Enchanted
646,The Sorcerer's Hat,3,210,Amethyst,Enchanted
647,Morph - Space Goo,3,211,Emerald,Enchanted
648,Ursula - Deceiver of All,3,212,Emerald,Enchanted
649,Kuzco's Palace - Home of the Emperor,3,213,Emerald,Enchanted
650,Captain Hook - Master Swordsman,3,214,Ruby,Enchanted
651,Peter Pan - Pirate's Bane,3,215,Ruby,Enchanted
652,RLS Legacy - Solar Galleon,3,216,Ruby,Enchanted
653,Gramma Tala - Spirit of the Ocean,3,217,Sapphire,Enchanted
654,Scrooge McDuck - Richest Duck in the World,3,218,Sapphire,Enchanted
655,Belle's House - Maurice's Workshop,3,219,Sapphire,Enchanted
656,Mickey Mouse - Trumpeter,3,220,Steel,Enchanted
657,Robin Hood - Champion of Sherwood,3,221,Steel,Enchanted
658,And Then Along Came Zeus,3,222,Steel,Enchanted
659,Piglet - Pooh Pirate Captain,3,223,Amber,Super Rare
660,Agustin Madrigal - Clumsy Dad,4,1,Amber,Common
661,Alma Madrigal - Family Matriarch,4,2,Amber,Rare
662,Ariel - Singing Mermaid,4,3,Amber,Rare
663,Cinderella - Melody Weaver,4,4,Amber,Legendary
664,Cogsworth - Majordomo,4,5,Amber,Common
665,Daisy Duck - Lovely Lady,4,6,Amber,Uncommon
666,Daisy Duck - Musketeer Spy,4,7,Amber,Common
667,Donald Duck - Musketeer Soldier,4,8,Amber,Uncommon
668,F̩lix Madrigal - Fun-Loving Family Man,4,9,Amber,Uncommon
669,Gaston - Despicable Dealer,4,10,Amber,Super Rare
670,Golden Harp - Enchanter of the Land,4,11,Amber,Rare
671,Goofy - Musketeer Swordsman,4,12,Amber,Rare
672,Julieta Madrigal - Excellent Cook,4,13,Amber,Uncommon
673,Max - Loyal Sheepdog,4,14,Amber,Common
674,Mickey Mouse - Leader of the Band,4,15,Amber,Uncommon
675,Mickey Mouse - Musketeer Captain,4,16,Amber,Legendary
676,Minnie Mouse - Musketeer Champion,4,17,Amber,Super Rare
677,Mirabel Madrigal - Gift of the Family,4,18,Amber,Super Rare
678,Mirabel Madrigal - Prophecy Finder,4,19,Amber,Common
679,Pluto - Rescue Dog,4,20,Amber,Common
680,Prince Eric - Seafaring Prince,4,21,Amber,Common
681,Prince Eric - Ursula's Groom,4,22,Amber,Uncommon
682,Stitch - Alien Dancer,4,23,Amber,Common
683,Ursula - Eric's Bride,4,24,Amber,Rare
684,Ursula - Vanessa,4,25,Amber,Common
685,Bruno's Return,4,26,Amber,Uncommon
686,First Aid,4,27,Amber,Common
687,Look At This Family,4,28,Amber,Rare
688,Lost In The Woods,4,29,Amber,Uncommon
689,Sign The Scroll,4,30,Amber,Uncommon
690,Miracle Candle,4,31,Amber,Rare
691,Record Player,4,32,Amber,Common
692,Atlantica - Concert Hall,4,33,Amber,Common
693,The Underworld - River Styx,4,34,Amber,Rare
694,Antonio Madrigal - Animal Expert,4,35,Amethyst,Uncommon
695,Belle - Accomplished Mystic,4,36,Amethyst,Super Rare
696,Belle - Untrained Mystic,4,37,Amethyst,Common
697,Bruno Madrigal - Out of the Shadows,4,38,Amethyst,Rare
698,Bruno Madrigal - Undetected Uncle,4,39,Amethyst,Super Rare
699,Camilo Madrigal - Prankster,4,40,Amethyst,Uncommon
700,Dolores Madrigal - Easy Listener,4,41,Amethyst,Common
701,Elsa - Storm Chaser,4,42,Amethyst,Rare
702,"Flotsam - Ursula's ""Baby""",4,43,Amethyst,Uncommon
703,Flotsam & Jetsam - Entangling Eels,4,44,Amethyst,Uncommon
704,Isabela Madrigal - Golden Child,4,45,Amethyst,Rare
705,"Jetsam - Ursula's ""Baby""",4,46,Amethyst,Common
706,Luisa Madrigal - Magically Strong One,4,47,Amethyst,Common
707,Magic Broom - Illuminary Keeper,4,48,Amethyst,Common
708,Magic Broom - Lively Sweeper,4,49,Amethyst,Common
709,Magical Maid - Feather Duster,4,50,Amethyst,Uncommon
710,Marshmallow - Terrifying Snowman,4,51,Amethyst,Uncommon
711,Mrs. Potts - Enchanted Teapot,4,52,Amethyst,Rare
712,Pepa Madrigal - Weather Maker,4,53,Amethyst,Rare
713,Peter Pan - Shadow Finder,4,54,Amethyst,Super Rare
714,Pico - Helpful Toucan,4,55,Amethyst,Common
715,Tick-Tock - Ever-Present Pursuer,4,56,Amethyst,Common
716,Ursula - Mad Sea Witch,4,57,Amethyst,Uncommon
717,Ursula - Sea Witch Queen,4,58,Amethyst,Legendary
718,Yen Sid - Powerful Sorcerer,4,59,Amethyst,Legendary
719,Poor Unfortunate Souls,4,60,Amethyst,Common
720,Second Star To The Right,4,61,Amethyst,Rare
721,Swing Into Action,4,62,Amethyst,Common
722,Ursula's Plan,4,63,Amethyst,Uncommon
723,Mystical Rose,4,64,Amethyst,Rare
724,Rose Lantern,4,65,Amethyst,Common
725,Triton's Trident,4,66,Amethyst,Uncommon
726,Casa Madrigal - Casita,4,67,Amethyst,Common
727,Ursula's Lair - Eye of the Storm,4,68,Amethyst,Rare
728,Cri-Kee - Lucky Cricket,4,69,Emerald,Rare
729,Diablo - Devoted Herald,4,70,Emerald,Legendary
730,Diablo - Maleficent's Spy,4,71,Emerald,Common
731,Gunther - Interior Designer,4,72,Emerald,Common
732,Gus - Champion of Cheese,4,73,Emerald,Common
733,Hades - Double Dealer,4,74,Emerald,Legendary
734,HeiHei - Bumbling Rooster,4,75,Emerald,Uncommon
735,Hera - Queen of the Gods,4,76,Emerald,Rare
736,Jaq - Connoisseur of Climbing,4,77,Emerald,Common
737,Jasmine - Desert Warrior,4,78,Emerald,Rare
738,Megara - Captivating Cynic,4,79,Emerald,Common
739,Megara - Liberated One,4,80,Emerald,Uncommon
740,Pain - Immortal Sidekick,4,81,Emerald,Uncommon
741,Panic - Immortal Sidekick,4,82,Emerald,Uncommon
742,Pegasus - Cloud Racer,4,83,Emerald,Uncommon
743,Pegasus - Gift for Hercules,4,84,Emerald,Common
744,Pete - Born to Cheat,4,85,Emerald,Super Rare
745,Pete - Rotten Guy,4,86,Emerald,Uncommon
746,Prince Phillip - Vanquisher of Foes,4,87,Emerald,Super Rare
747,Prince Phillip - Warden of the Woods,4,88,Emerald,Rare
748,The Fates - Only One Eye,4,89,Emerald,Common
749,The Muses - Proclaimers of Heroes,4,90,Emerald,Rare
750,Tor - Florist,4,91,Emerald,Common
751,Zeus - Mr. Lightning Bolts,4,92,Emerald,Super Rare
752,Dodge!,4,93,Emerald,Common
753,Make The Potion,4,94,Emerald,Common
754,Under The Sea,4,95,Emerald,Rare
755,Ursula's Trickery,4,96,Emerald,Uncommon
756,We Don't Talk About Bruno,4,97,Emerald,Rare
757,Hidden Inkcaster,4,98,Emerald,Common
758,Signed Contract,4,99,Emerald,Uncommon
759,Vision Slab,4,100,Emerald,Uncommon
760,Hidden Cove - Tranquil Haven,4,101,Emerald,Common
761,Ursula's Garden - Full of the Unfortunate,4,102,Emerald,Rare
762,Beast - Wounded,4,103,Ruby,Uncommon
763,Benja - Bold Uniter,4,104,Ruby,Common
764,Fa Zhou - Mulan's Father,4,105,Ruby,Common
765,Flynn Rider - Frenemy,4,106,Ruby,Super Rare
766,Goofy - Super Goof,4,107,Ruby,Rare
767,Hercules - Clumsy Kid,4,108,Ruby,Common
768,Hercules - Daring Demigod,4,109,Ruby,Uncommon
769,Khan - Beloved Steed,4,110,Ruby,Uncommon
770,Li Shang - General's Son,4,111,Ruby,Common
771,Li Shang - Valorous General,4,112,Ruby,Uncommon
772,Lumiere - Fiery Friend,4,113,Ruby,Rare
773,Mulan - Elite Archer,4,114,Ruby,Legendary
774,Mulan - Enemy of Entanglement,4,115,Ruby,Uncommon
775,Mulan - Injured Soldier,4,116,Ruby,Common
776,Namaari - Heir of Fang,4,117,Ruby,Rare
777,Nessus - River Guardian,4,118,Ruby,Uncommon
778,Noi - Acrobatic Baby,4,119,Ruby,Super Rare
779,Pegasus - Flying Steed,4,120,Ruby,Common
780,Raya - Fierce Protector,4,121,Ruby,Super Rare
781,Raya - Guardian of the Dragon Gem,4,122,Ruby,Common
782,Sisu - Daring Visitor,4,123,Ruby,Uncommon
783,Sisu - Emboldened Warrior,4,124,Ruby,Rare
784,Sisu - Empowered Sibling,4,125,Ruby,Legendary
785,Tong - Survivor,4,126,Ruby,Common
786,Tuk Tuk - Lively Partner,4,127,Ruby,Rare
787,A Pirate's Life,4,128,Ruby,Uncommon
788,Be King Undisputed,4,129,Ruby,Rare
789,Brawl,4,130,Ruby,Common
790,Imperial Proclamation,4,131,Ruby,Rare
791,Medallion Weights,4,132,Ruby,Uncommon
792,The Plank,4,133,Ruby,Common
793,Vitalisphere,4,134,Ruby,Common
794,Snuggly Duckling - Disreputable Pub,4,135,Ruby,Rare
795,Training Grounds - Impossible Pillar,4,136,Ruby,Common
796,Anna - Braving the Storm,4,137,Sapphire,Common
797,Anna - True-Hearted,4,138,Sapphire,Super Rare
798,Ariel - Treasure Collector,4,139,Sapphire,Super Rare
799,Aurora - Lore Guardian,4,140,Sapphire,Super Rare
800,Aurora - Tranquil Princess,4,141,Sapphire,Common
801,Dang Hu - Talon Chief,4,142,Sapphire,Rare
802,Fa Li - Mulan's Mother,4,143,Sapphire,Common
803,Flounder - Collector's Companion,4,144,Sapphire,Uncommon
804,Hades - Meticulous Plotter,4,145,Sapphire,Uncommon
805,Hans - Noble Scoundrel,4,146,Sapphire,Common
806,Iduna - Caring Mother,4,147,Sapphire,Uncommon
807,John Silver - Terror of the Realm,4,148,Sapphire,Rare
808,Olaf - Carrot Enthusiast,4,149,Sapphire,Uncommon
809,Olaf - Trusting Companion,4,150,Sapphire,Common
810,Pascal - Inquisitive Pet,4,151,Sapphire,Common
811,Prince Phillip - Gallant Defender,4,152,Sapphire,Rare
812,Rapunzel - Appreciative Artist,4,153,Sapphire,Rare
813,Scuttle - Expert on Humans,4,154,Sapphire,Uncommon
814,Sisu - Wise Friend,4,155,Sapphire,Uncommon
815,The Queen - Diviner,4,156,Sapphire,Legendary
816,Transformed Chef - Castle Stove,4,157,Sapphire,Common
817,Triton - Champion of Atlantica,4,158,Sapphire,Legendary
818,Triton - Discerning King,4,159,Sapphire,Rare
819,Triton - Young Prince,4,160,Sapphire,Uncommon
820,Tuk Tuk - Curious Partner,4,161,Sapphire,Common
821,Dig A Little Deeper,4,162,Sapphire,Uncommon
822,Glean,4,163,Sapphire,Common
823,Seldom All They Seem,4,164,Sapphire,Common
824,Treasures Untold,4,165,Sapphire,Rare
825,Field Of Ice,4,166,Sapphire,Rare
826,Great Stone Dragon,4,167,Sapphire,Uncommon
827,Ice Block,4,168,Sapphire,Common
828,Ariel's Grotto - A Secret Place,4,169,Sapphire,Rare
829,Winter Camp - Medical Tent,4,170,Sapphire,Common
830,Aladdin - Brave Rescuer,4,171,Steel,Uncommon
831,Aladdin - Resolute Swordsman,4,172,Steel,Common
832,Arges - The Cyclops,4,173,Steel,Common
833,Ariel - Determined Mermaid,4,174,Steel,Common
834,Ariel - Sonic Warrior,4,175,Steel,Super Rare
835,Beast - Thick-Skinned,4,176,Steel,Common
836,Chi-Fu - Imperial Advisor,4,177,Steel,Uncommon
837,Chien-Po - Imperial Soldier,4,178,Steel,Common
838,Donald Duck - Buccaneer,4,179,Steel,Legendary
839,Hercules - Beloved Hero,4,180,Steel,Rare
840,LeFou - Opportunistic Flunky,4,181,Steel,Rare
841,Li Shang - Imperial Captain,4,182,Steel,Uncommon
842,Ling - Imperial Soldier,4,183,Steel,Uncommon
843,Luisa Madrigal - Rock of the Family,4,184,Steel,Common
844,Magic Broom - Aerial Cleaner,4,185,Steel,Common
845,Magic Broom - Brigade Commander,4,186,Steel,Super Rare
846,Mickey Mouse - Playful Sorcerer,4,187,Steel,Rare
847,Mickey Mouse - Standard Bearer,4,188,Steel,Common
848,Mulan - Armored Fighter,4,189,Steel,Uncommon
849,Philoctetes - No-Nonsense Instructor,4,190,Steel,Rare
850,Piglet - Sturdy Swordsman,4,191,Steel,Legendary
851,Rajah - Royal Protector,4,192,Steel,Rare
852,Raya - Unstoppable Force,4,193,Steel,Super Rare
853,Yao - Imperial Soldier,4,194,Steel,Common
854,Avalanche,4,195,Steel,Uncommon
855,"I Find 'Em, I Flatten 'Em",4,196,Steel,Uncommon
856,One Last Hope,4,197,Steel,Rare
857,The Mob Song,4,198,Steel,Uncommon
858,Triton's Decree,4,199,Steel,Common
859,Fortisphere,4,200,Steel,Common
860,Imperial Bow,4,201,Steel,Uncommon
861,RLS Legacy's Cannon,4,202,Steel,Rare
862,The Wall - Border Fortress,4,203,Steel,Rare
863,Thebes - The Big Olive,4,204,Steel,Common
864,Cinderella - Melody Weaver,4,205,Amber,Enchanted
865,Minnie Mouse - Musketeer Champion,4,206,Amber,Enchanted
866,Look At This Family,4,207,Amber,Enchanted
867,Ursula - Sea Witch Queen,4,208,Amethyst,Enchanted
868,Yen Sid - Powerful Sorcerer,4,209,Amethyst,Enchanted
869,Second Star To The Right,4,210,Amethyst,Enchanted
870,Diablo - Devoted Herald,4,211,Emerald,Enchanted
871,Jasmine - Desert Warrior,4,212,Emerald,Enchanted
872,We Don't Talk About Bruno,4,213,Emerald,Enchanted
873,Goofy - Super Goof,4,214,Ruby,Enchanted
874,Sisu - Empowered Sibling,4,215,Ruby,Enchanted
875,Snuggly Duckling - Disreputable Pub,4,216,Ruby,Enchanted
876,Anna - True-Hearted,4,217,Sapphire,Enchanted
877,The Queen - Diviner,4,218,Sapphire,Enchanted
878,Ariel's Grotto - A Secret Place,4,219,Sapphire,Enchanted
879,Ariel - Sonic Warrior,4,220,Steel,Enchanted
880,Piglet - Sturdy Swordsman,4,221,Steel,Enchanted
881,The Wall - Border Fortress,4,222,Steel,Enchanted
882,Yen Sid - Powerful Sorcerer,4,223,Amethyst,Legendary
883,Mulan - Elite Archer,4,224,Ruby,Legendary
884,Mickey Mouse - Playful Sorcerer,4,225,Steel,Rare
885,Koda - Talkative Cub,5,1,Amber,Rare
886,Nala - Mischievous Cub,5,2,Amber,Uncommon
887,Prince Naveen - Ukulele Player,5,3,Amber,Legendary
888,Rutt - Northern Moose,5,4,Amber,Common
889,Kenai - Big Brother,5,5,Amber,Common
890,Vanellope von Schweetz - Sugar Rush Champ,5,6,Amber,Common
891,Tuke - Northern Moose,5,7,Amber,Common
892,Lilo - Junior Cake Decorator,5,8,Amber,Common
893,Vanellope von Schweetz - Candy Mechanic,5,9,Amber,Common
894,"Fix-It Felix, Jr. - Trusty Builder",5,10,Amber,Common
895,Gazelle - Pop Star,5,11,Amber,Common
896,"Fix-It Felix, Jr. - Niceland Steward",5,12,Amber,Uncommon
897,Kristoff - Reindeer Keeper,5,13,Amber,Rare
898,Mirabel Madrigal - Family Gatherer,5,14,Amber,Legendary
899,Minnie Mouse - Drum Major,5,15,Amber,Super Rare
900,Daisy Duck - Donald's Date,5,16,Amber,Super Rare
901,"Fix-It Felix, Jr. - Delighted Sightseer",5,17,Amber,Common
902,Moana - Determined Explorer,5,18,Amber,Rare
903,Vanellope von Schweetz - Sugar Rush Princess,5,19,Amber,Rare
904,Alan-a-Dale - Rockin' Rooster,5,20,Amber,Uncommon
905,Wreck-It Ralph - Admiral Underpants,5,21,Amber,Rare
906,Maid Marian - Lady of the Lists,5,22,Amber,Uncommon
907,Sven - Reindeer Steed,5,23,Amber,Uncommon
908,Minnie Mouse - Compassionate Friend,5,24,Amber,Common
909,Try Everything,5,25,Amber,Uncommon
910,Healing Touch,5,26,Amber,Common
911,Revive,5,27,Amber,Rare
912,Blast From Your Past,5,28,Amber,Super Rare
913,Invited to the Ball,5,29,Amber,Uncommon
914,Healing Decanter,5,30,Amber,Common
915,Queen's Sensor Core,5,31,Amber,Rare
916,Amber Chromicon,5,32,Amber,Uncommon
917,Rapunzel's Tower - Secluded Prison,5,33,Amber,Uncommon
918,Pride Lands - Jungle Oasis,5,34,Amber,Rare
919,Maleficent - Formidable Queen,5,35,Amethyst,Super Rare
920,The Nokk - Mythical Spirit,5,36,Amethyst,Common
921,Cogsworth - Illuminary Watchman,5,37,Amethyst,Common
922,Merlin - Turtle,5,38,Amethyst,Common
923,Archimedes - Exasperated Owl,5,39,Amethyst,Common
924,Bruni - Fire Salamander,5,40,Amethyst,Uncommon
925,Earth Giant - Living Mountain,5,41,Amethyst,Common
926,Gale - Wind Spirit,5,42,Amethyst,Common
927,White Rabbit - Royal Herald,5,43,Amethyst,Common
928,Madam Mim - Elephant,5,44,Amethyst,Super Rare
929,Luisa Madrigal - Entertaining Muscle,5,45,Amethyst,Rare
930,Anna - Mystical Majesty,5,46,Amethyst,Rare
931,Archimedes - Electrified Owl,5,47,Amethyst,Uncommon
932,Elsa - The Fifth Spirit,5,48,Amethyst,Super Rare
933,Genie - Main Attraction,5,49,Amethyst,Legendary
934,Olaf - Happy Passenger,5,50,Amethyst,Rare
935,Maleficent - Vexed Partygoer,5,51,Amethyst,Uncommon
936,Monstro - Whale of a Whale,5,52,Amethyst,Uncommon
937,Magica De Spell - Cruel Sorceress,5,53,Amethyst,Rare
938,Maleficent - Vengeful Sorceress,5,54,Amethyst,Common
939,Rafiki - Shaman Duelist,5,55,Amethyst,Rare
940,Anna - Eager Acolyte,5,56,Amethyst,Common
941,King of Hearts - Monarch of Wonderland,5,57,Amethyst,Uncommon
942,Camilo Madrigal - Family Copycat,5,58,Amethyst,Legendary
943,Hypnotic Strength,5,59,Amethyst,Common
944,Finders Keepers,5,60,Amethyst,Uncommon
945,We Know The Way,5,61,Amethyst,Rare
946,Gathering Knowledge And Wisdom,5,62,Amethyst,Common
947,Magical Aid,5,63,Amethyst,Uncommon
948,Retrosphere,5,64,Amethyst,Common
949,Half Hexwell Crown,5,65,Amethyst,Rare
950,Amethyst Chromicon,5,66,Amethyst,Uncommon
951,Elsa's Ice Palace - Place of Solitude,5,67,Amethyst,Rare
952,The Library - A Gift for Belle,5,68,Amethyst,Uncommon
953,Robin Hood - Timely Contestant,5,69,Emerald,Rare
954,Shenzi - Scar's Accomplice,5,70,Emerald,Uncommon
955,Little John - Camp Cook,5,71,Emerald,Uncommon
956,Zazu - Advisor to Mufasa,5,72,Emerald,Common
957,Ulf - Mime,5,73,Emerald,Common
958,Ed - Laughing Hyena,5,74,Emerald,Common
959,Flora - Good Fairy,5,75,Emerald,Common
960,Merryweather - Good Fairy,5,76,Emerald,Common
961,Robin Hood - Archery Contestant,5,77,Emerald,Common
962,Fauna - Good Fairy,5,78,Emerald,Common
963,Iago - Fake Flamingo,5,79,Emerald,Rare
